Title, articleCode, Date,  Author, Description
Dispositivo extraíble para monitorizar el ensuciamiento de sistemas de tratamiento de agua con membranas en configuración espiral.,P201301107,sep/1st/2014,Juan Antonio López Ramírez,El Profesor Juan Antonio López Ramírez del Departamento de Tecnologías del Medio Ambiente ha patentado un dispositivo para evaluar el ensuciamiento en los sistemas de tratamiento de agua por membranas en configuración espiral. Las principales ventajas de este dispositivo son su fácil y rápida colocación y extracción que evita tener que sacrificar elementos de membrana ahorrando tiempo y dinero. Esta patente ofrece oportunidades para organizaciones del área de fabricación de membranas accesorios y desalinizadoras interesados en asociarse para la constitución de una Spin-Off firmar contrato de licencia o acuerdo de adquisición. 
Procedimiento para la Determinación Secuencial de Nitrito y Nitrato ,P201300841,jul/29th/2014,Emilio García Robledo;  Sokratis Papaspyrou;  Alfonso Corzo Rodríguez,Investigadores del grupo de Estructura y dinámica de ecosistemas acuáticos (RNM-214) han desarrollado un protocolo más rápido y eficiente para determinar niveles de nitrito y nitrato secuencialmente en muestras acuáticas desde muy bajas concentraciones (<0.05 - 30 μM). La Universidad de Cádiz está dispuesta a licenciar este procedimiento para introducirlo en procesos de análisis automatizados de desarrollar aplicaciones comerciales e industriales de este resultado científico
Aceite alimenticio saludable,P201300709,may/30th/2014,Jose Ángel Álvarez Saura;  Jesús Ayuso Vilacides;  Daniel Escolar Méndez;  Jose Maria González Molinillo;  María del Rosario Haro Ramos;  Francisco Antonio Macias Dominguez;  Antonio Ruiz González,Investigadores de la Universidad de Cádiz han desarrollado un aceite de origen marino y vegetal que por sus propiedades ayuda a prevenir enfermedades cardiovasculares exalta sabores se conserva mejor y tiene buen rendimiento a temperaturas de cocción. Esta invención se ofrece en licencia o acuerdo comercial con asistencia técnica a quienes deseen introducirla en sus procesos productivos o sean capaces de desarrollar nuevas aplicaciones.
Pre-treatment of lignocellulosic biomass for the production of second-generation bioethanol,Unknown Code,Unknown,Unknown,A procedure for making soluble the lignin and other polymers responsible for the low digestibility of lignocellulosic materials in particular rice husks has been developed by the University of Cadiz research group on Food Engineering and Technology (AGR-203). This new procedure utilizes hydrogen peroxide in conditions of high pressure for digesting the material. This pre-hydrolysis stage is essential for extracting maximum amounts of the sugars that are subsequently fermented to produce second-generation bioethanol.
A novel procedure to fabricate nano-engravings with improved optical contrast,Unknown Code,Unknown,Unknown,The research group Materials and Nanotechnology Innovation Group has developed a new method to engrave materials at the nanoscale as well as a process for improving the visibility of such engravings by depositing a metal at nanoscale in the groove. Our fabrication method has innovative character because it provides a way of including a nano-engraving with optimized contrast on the surface of different materials such as gemstones. 
CO2 injection system for ecotoxicological studies,Unknown Code,Unknown,Unknown,The University of Cadiz in collaboration with CSIC has designed a non-pressurized laboratory-scale CO2 injection system in order to investigate the effects on marine ecosystems derived of decrease in pH associated to increase of CO2 levels. The system enables to run standardized toxicity tests by using different exposure routes (seawater whole sediment and sediment elutriate) by simply adaptations as a way to assess the toxicity of marine environment which has been affected by CO2 leakages.
New nanostructured catalyzers without noble metals and with low content in lanthanides,Unknown Code,Unknown,Unknown,The research group working on the Structure and chemistry of nanomaterials has developed a new catalyzer that does not contain noble metals in its formulation has a low content in lanthanides and presents good oxygen storage properties. These catalyzers will be of great interest for the purification of the exhaust gases of combustion engines and in the catalysis of any reaction in which the activation of hydrogen molecules is required.
Method and kit for the determination of blood plasma inorganic polyphosphate,Unknown Code,Unknown,Unknown,The UCA research group working on the Phosphate metabolism in human tissues has developed a method and kit for determining the presence of inorganic polyphosphates (polyP) in blood plasma. The procedure consists of the concentration of most of the polyP by means of cryoprecipitation of the proteins fraction of the plasma. This makes it a very simple method in which  contamination by the free phosphate in the sample is considerably reduced.
New procedure for the elimination of nutrients from waste waters by photobiotreatment with microalgas,Unknown Code,Unknown,Unknown,Investigadores de la Universidad de Cádiz ha desarrollado un nuevo procedimiento para la eliminación de nutrientes de aguas residuales mediante el uso de microalgas que se caracteriza porque tiene lugar en dos fases. Una primera fase de eliminación de nutrientes en la oscuridad y una segunda de crecimiento de biomasa en un fotobiorreactor gracias al aprovechamiento de la capacidad de las microalgas de eliminar nutrientes de las aguas residuales sin las presencia de una fuente de luz. Entre sus principales ventajas se encuentran el abaratamiento de los costes como la posibilidad de operar en condiciones de oscuridad.
Nuevos productos enológicos a base de zumo de frutas y vinagre de vino,Unknown Code,Unknown,Unknown,El grupo de investigación AGR122 investigación químico analítica del vino y productos vitivinicolas ha desarrollado una serie de nuevos productos enológicos mediante el empleo de zumo de frutas y vinagre de vino. Asimismo el grupo ha procedido a la optimización de las condiciones de elaboración. El proceso implica ensayar distintas formulaciones hasta conseguir la preferida por catadores expertos con unas cualidades organolépticas excelentes un mayor potencial antioxidante y con un elevado carácter innovador dentro del mercado de productos enológicos.
