Title, department, Detail
Faculty of Architecture,Architecture,UNIVERSAL SOLAR CHART SHADOW PLOTTER AND METHOD FOR PLOTTING A SHADOWAn apparatus for estimating a shadow on a scaled figure is presented herein. The apparatus includes a circular disk with a lines corresponding to the declination angle of the earth with respect to the sun at particular dates of the year. The apparatus also includes arcs on the circular disk which correspond to the earth s rotation at particular times of the day. The circular disk can also have a slot to facilitate insertion of a pencil or pen time therein. The circular disk is substantially transparent to enable a user to lay the disk over a scaled figure and make calculations and measurements corresponding to a shadow to be estimated. Also disclosed is a method for estimating a shadow for a structure depicted in a scaled figure. The circular disk is placed over the scaled figure such that the slot in the disk is aligned with an azimuth of the sun so as to trace a shadow line. The circular disk is then reoriented perpendicular to the shadow line so that a scaled height line may be traced. The circular disk is then relocated so that the center of the slot is located at the end of the scaled height line. The circular disk is then rotated to an angle corresponding to the height of the sun and a projection line is traced in the slot from the end of the scaled height line to the shadow line. In this manner  the length of the shadow for a given azimuth and altitude can be determined.US Patent Number: 6 449 854UNIVERSAL HELIODON-SUNDIALAn apparatus for use with a source of light including a first orientation device that includes a latitude scale  a latitude pointer rotatable about a first axis relative to the latitude scale  and a platform configured to support an architectural model. The platform is mounted on the latitude pointer such that rotation of the pointer about the first axis produces a corresponding change in the position of the platform relative to the latitude scale. The apparatus also includes a second orientation device that includes a time scale and a time pointer rotatable about a second axis relative to the time scale. The first orientation device is mounted on the time pointer such that rotation of the time pointer about the second axis produces a corresponding change in the position of the platform relative to the time scale without changing the position of the platform relative to the latitude scale. The apparatus further includes a third orientation device that includes a day of the year scale  a gnomon operatively oriented relative to the day of the year scale  and a universal joint supporting the third orientation device for movement relative to a source of light. The second orientation device is mounted on the third orientation device such that movement of the third orientation device on the universal joint produces a corresponding change in the position of the platform relative to the source of light without changing the position of the time pointer relative to the time scale or the position of the platform relative to the latitude scale.US Patent Number: 6 523 270AIRBORNE WATER DIFFUSERAn apparatus is for use with a container of liquid that is suspended from an aircraft flying over a ground target area. The container has an outlet through which the liquid is dropped from the container. The apparatus includes a diffuser configured to diffuse the liquid exiting the container outlet horizontally outward beyond the container into the air above the ground target area  whereby the liquid is diffused over a correspondingly wide area. The liquid can be fire extinguishing liquid  and the ground target area can be a forest fire.US Patent Number: 6 889 776EP Patent Number: 1307383,
Faculty of Engineering,Civil Engineering,DRILLING PROCESS MONITORAn apparatus is used with a drilling assembly for drilling a borehole. The drilling assembly has an impact device linked to a drill head. The impact device is powered by a first fluid under a first pressure to impart a percussive force to the drill head. The percussive force is a function of the first pressure. A thruster of the drilling assembly is also linked to the drill head. The thruster is powered by a second fluid under a second pressure to impart a thrust force to the drill head. The thrust force is a function of the second pressure. Additionally  a rotator of the drilling assembly is linked to the drill head. The rotator is powered by a third fluid under a third pressure to impart a torque to the drill head. The torque is a function of the third pressure. The apparatus includes a first pressure sensor communicating with the first fluid to output a first electrical signal that is a function of the first pressure. A second pressure sensor communicates with the second fluid to output a second electrical signal that is a function of the second pressure. A third pressure sensor communicates with the third fluid to output a third electrical signal that is a function of the third pressure. A position sensor outputs a fourth electrical signal that is a function of depth of the drill head relative to a reference location. A device monitors the first  second  third and fourth signals. The device produces respective graph traces of functions of the percussive force  the thrust force  the torque and the depth.US Patent Number: 6 637 523HK Patent Number: 1046029PRC Patent Number: ZL01140858.8AUTOMATIC SPT MONITORAn apparatus is used with an impact hammer penetration assemble such as standard penetration test (SPT) in geotechnical engineering. The impact hammer penetration assembly comprises a penetration sample  a series of rods coupled together and an impact hammer apparatus. The drop of the hammer from a constant height hits the coupled rods and sampler in series and forces the sampler deeper into the ground. The apparatus includes a tip depth transducer and sampler to output a first electrical signal that is a function of the sampler tip position. A shock force transducer communicates the axial shock force in the rod to output a second electrical signal that is a function of the rod shock force and hammer blows. A shock penetration transducer communicates the movement of the coupled rods and sampler to output a third electrical signal that is a function of the sampler penetration due to the hammer blows. A micro-process controller monitors and processes the first  second and third signals in real time.US Patent Number: 7 404 455HK Patent Number: HK1105675PRC Patent Number: ZL200610168464.9DOPING OF INORGANIC MINERALS TO HYDROPHOBIC MEMBRANE SURFACENew!Disclosed is a membrane surface modification method. The method is applicable to a variety of hydrophobic membranes by doping selected inorganic particles. One act of the method involves the in-situ embedment of the inorganic particles onto the membrane surface by dispersing the particles in a non-solvent bath for polymer precipitation. Further membrane surface modification can be achieved by hydrothermally growing new inorganic phase on the embedded particles. The embedment of particles is for the subsequent phase growth. More >>>US Patent Number: 9 211 506PRC Patent Number: ZL201180042331.6,
Faculty of Engineering,Computer Science,Sequence Online Analytical processing SystemNew!A sequence online analytical processing (S-OLAP) system 50 for analysing an event database (41) storing events (12)  the system (50) comprising: an S-OLAP engine (53) to compute an S-cuboid (49) for a query on the event database (41); a sequence query engine (54) to form part of the S-cuboid (49) by performing the steps of: selection  clustering  sequence formation and sequence grouping; a cuboid repository (52) to store computed S-cuboids (49) and to be searched by the S-OLAP engine (53) for an S-cuboid query to determine whether an S-cuboid has previously been computed; and a sequence cache (56) to cache constructed sequence groups. More >>>US Patent Number: 8 160 996,
Faculty of Engineering,Electrical and Electronic Engineering,COMPACT ELECTRONIC REVERBERATION CHAMBERNew!A method and apparatus provide an improved EM reverberation chamber which facilitates the dynamic three dimensional (3D) manipulation of EM field polarization within the chamber and produces a uniform field distribution inside the chamber. The chamber includes one or more walls with tunable lumped elements. A controller is provided to generate one or more control signals that are applied to the lumped elements and tunes their impedance in response to the one or more control signals. The result is to generate  within the chamber an electromagnetic field that appears to be random or pseudo-random in polarization  but which is sufficiently uniform in magnitude for EM testing. More >>>US Patent Number: 8 693 158WHITE NANOLED WITHOUT REQUIRING COLOR CONVERSIONNew!A nano-LED containing an array of nano-pillars of different diameters that are distributed over an emission area of an LED chip is capable of emitting broadband and white or nearly white light. Since each pillar emits light at a different wavelength according to its diameter and strain state  the overall emission spectral characteristics of the device is a combination of individual spectrum  giving rise to broadband emission. The spectral shape can be tailored for different shades of white emission  by controlling the distribution of the different diameter nano-pillars. The nano-pillars are patterned by nanosphere lithography.US Patent Number: 9 401 453ENHANCING AQM TO COMBAT WIRELESS LOSSESNew!In order to maintain a small  stable backlog at an internet router buffer  active queue management (AQM) algorithms drop packets probabilistically at the onset of congestion. This causes Transmission Control Protocol (TCP) data flow rates to reduce. However  wireless losses may be misinterpreted as congestive losses and induce spurious reductions in flow rates. A prior art AQM with random early detection (RED)  fails to maintain a stable backlog under time-varying wireless losses. However  the present invention can resolve the problem and provide a robust tracking of the backlog to a preset reference level by applying a control-theoretic vehicle  Internal Model principle  to realize such tracking. An integral controller (IC) is used as an embodiment of the principle that is robust against time-varying wireless losses under various network scenarios.US Patent Number: 9 473 974WAVELENGTH-ENCODED TOMOGRAPHYNew!Systems and methods for non-invasive optical imaging are provided. One or more time-lenses can be utilized to perform an optical Fourier transform  and the time-to-wavelength conversion can generate a wavelength-encoded image of optical scattering  analogous to optical coherence tomography. This optical Fourier transform provides improved axial resolution and simplifies digital signal processing after data acquisition.US Patent Number: 9 404 800,
Faculty of Engineering,Electrical and Electronic Engineering,ALL-LAG SPREAD-SPECTRUM CORRELATORS WITH ROTATING REFERENCESAn all-lag rotating-reference correlator correlates a received spread-spectrum signal with a rotating reference code  and produces in each sampling instance N correlation lags corresponding to the correlation of the received signal with 0  1  . . .   N-1 lags (or delays) of the rotating reference code  wherein N is the length of the rotating reference code. The rotating reference code is time-variant and is generated by a rotation of a basic reference code. The received signal  possibly embedded in noise and interference  consists of periodic replicas of the basic reference code with or without data modulation. The first embodiment of the present invention describes a method and apparatus of an all-lag rotating-reference correlator which is applicable to situations where data modulation is not present in the received signal. The second embodiment of the present invention describes a method and apparatus of an all-lag rotating-reference correlator which is applicable for situations where data modulation is present in the received signal. Corresponding methods and apparatus are also described when only a number of selected correlation lags are required to be generated. Each apparatus comprises storage means for storing spread-spectrum signal samples  subtraction means  a plurality of multiplication means each of which computes the multiplication result for the output of subtraction means and an element of rotating reference code  storage means for storing correlation lags  and a plurality of addition means.US Patent Number: 6 847 676ALL-LAG SPREAD SPECTRUM-CORRELATORAn all-lag correlator is provided that correlates a received spread-spectrum signal with a reference code and produces at each sampling instance N correlation lags corresponding to the correlation of the received signal with 0  1  . . .   N-1 lags (or delays) of the reference code  wherein N is the length of the reference code. The correlator includes a spread spectrum signal storage means  subtraction means  multiplication means  correlation lag storage means and addition means configured such that a correlation lag for a present sampling instance is based on a correlation lag of a previous sampling instance.US Patent Number: 6 868 115METHOD OF AND DEVICE FOR INSPECTING IMAGES TO DETECT DEFECTSThe present invention relates to a method for automated defect detection in textured materials. The present invention utilizes linear Finite Impulse Response (FIR) filters with optimized energy separation. Specifically  the invention provides a method of inspecting industrial products for defects. The method has steps of: automated design of optimized filters from samples of products  using these optimal filters to filter the acquired images of product under inspection  computing the energy of each pixel in a local region  and finally segmenting the defect by thresholding each pixel. The present invention also relates to a method of inspection of unknown (unsupervised) defects in web materials. In an unsupervised inspection  information from a finite number of optimal filters is combined using a data fusion module. This module attempts to nullify the false alarm associated with the information arriving from different channels.US Patent Number: 6 804 381WIRELESS PURCHASE AND ON-LINE INVENTORY APPARATUS AND METHOD FOR VENDING MACHINESThe present invention relates to an apparatus and a method for wireless purchase of merchandise from a vending machine by using a cellular mobile phone. The present invention permits a cellular mobile phone user to dial a sequence of code on the phone to invoke the vending machine to dispense merchandise  where payment is charged to the mobile phone account. The present invention also relates to an apparatus and a method for on-line inventory management. With on-line inventory management  the present invention provides high efficient operation  reduced operation cost  and just-in-time service and merchandise delivery. The present invention further relates to an apparatus and a method that allow both on-line inventory management and wireless purchase of merchandise in a vending machine.US Patent Number: 7 110 954,
Faculty of Engineering,Electrical and Electronic Engineering,DEFECT DETECTION SYSTEM FOR QUALITY ASSURANCE USING AUTOMATED VISUAL INSPECTIONA defect detection method and system for the automated visual inspection of web materials is provided. The invention utilize real Gabor function (RGF) filters with a non-linear function for estimating the local energy. An example method for quality assurance using automated visual inspection in accordance with the invention includes the steps of: automated design of a bank of RGF filters; using these RGF filters to sample the features of image under inspection; using a non-linear function to compute local energy estimate in the filtered images; combining all the filtered images using image fusion; and finally thresholding the resultant image to segment the defects in the inspection image. Possible embodiments of the described invention include detection of only a class of defects using a single tuned real Gabor filter or a bank of real Gabor functions.US Patent Number: 6 753 965APPARATUS FOR NOISE CURRENT REDUCTION IN POWER CONVERTERSAn apparatus for reducing electromagnetic interference due to common mode current in power converters is disclosed. Common mode current flowing through high parasitic capacitance on the load side typically contributes significantly to the electromagnetic interference. In order to reduce the electromagnetic interference the common mode current is reduced by reducing the voltage driving a current through the high parasitic capacitance. A counter-acting voltage source produces a voltage out of phase with the voltage driving the common mode current. Such a counter-acting voltage is obtained with the aid of a winding coupled to the magnetic component in the power converter or by one or more active components. The counter-acting voltage source is connected in series with a capacitance element connected between the input and output sides of the converter-input terminal and output terminal when electrical isolation between the input and the output is desired.US Patent Number: 6 490 181US Patent Number: 6 879 500HK Patent Number: HK1054628PRC Patent Number: ZL200480030763.5PRC Patent Number: ZL02142057.2EP Patent Number: 1289108HANDY INFORMATION DISPLAY SYSTEMA handy information display system is disclosed. The system has three main components: a light emitting diodes (LED) array display board  an information server and a portable unit. The LED array display board includes a plurality of light emitting diodes and photodetectors. It can be used to display alphabets  numbers and simple graphics. While it visually gives an effectively stationary message display  the LED can also be modulated to transmit high frequency signals. The modulating frequency should be high enough to be imperceptible by humans. Both message display and signal transmission are controlled by an information server. The system further comprises at least one portable unit. The portable unit is equipped with an optical transceiver and a visual display unit. The optical transceiver can detect the signals transmitted from the LED array display board. The visual display unit then shows the information corresponding to the received signals.US Patent Number: 6 271 815METHOD AND SYSTEM FOR PROVIDING A DC VOLTAGE WITH LOW RIPPLE BY OVERLAYING A PLURALITY OF AC SIGNALSAn AC-DC converter that includes a plurality of power conversion units that overlay their signals to generate a DC signal with low voltage level  small voltage and current ripples  but high DC current. The DC signal is further filtered by a LC low pass filter to further minimize the ripples before output to the load. In one embodiment  the plurality of power conversion units is preferably powered by a plurality of input pulse generators. In an alternative embodiment  the power conversion units is powered by a input pulse generator circuit that includes a plurality of n-channel MOSFETs arranged in a full bridge configuration whose gate voltages are controlled by a plurality of pulse generators.US Patent Number: 6 697 266PRC Patent Number: ZL02828463.1,
Faculty of Engineering,Electrical and Electronic Engineering,MULTIPLIERLESS CORRELATORS FOR HIPERLAN/2 AND IEEE 802.11A WIRELESS LOCAL AREA NETWORKSA sliding correlator for timing synchronization in HIPERLAN/2 and IEEE 802.11a wireless local area networks by correlating the received signal with a known waveform is disclosed. The disclosed sliding correlator avoids the large number of complex multiplications per second  about 320 million by one estimate  by employing an implementation that avoids multiplication operations while also avoiding complexity. This invention discloses methods and apparatus to implement this correlator  using alternative correlator coefficients well suited for digital implementations  whereby the need to perform multiplication is eliminated.US Patent Number: 7 395 291EFFICIENT LOCK AND KEY SYSTEMA method and system is disclosed for allowing users to consolidate a large number electronic keys (for operating mechanical locks) in electronic key assemblies. These electronic keys are easily duplicated  added to  removed  backed up  or upgraded. The electronic key assemblies are also more resistant to tampering. The lock assembly and electronic key designs taught by the invention are customizable to meet various security needs. The lock assembly includes a transmitter and a receiver operatively coupled to an electronic circuit in communication with a store for keys. The electronic circuit is also coupled to the mechanical levers for operating the lock assembly. The electronic key assembly also has its transmitter  receiver  a control circuit and a user interface for selecting a particular electronic key password.US Patent Number: 7 009 490MULTI-ANTENNA ACCESS POINT ARCHITECTURE AND METHODSHigh capacity WLAN access point architecture is described layered above a MAC layer of a standard WLAN protocol stack. Methods for forming orthogonal beams to deliver downlink information to a plurality of mobile devices and for separating uplink packets from the mobile devices are disclosed. A near-optimal scheduling method for scheduling the transmission from each mobile device is also disclosed.US Patent Number: 7 197 335RECTANGULAR CONTACT LITHOGRAPHY FOR CIRCUIT PERFORMANCE IMPROVEMENT AND MANUFACTURE COST REDUCTIONAn optical lithography method is disclosed that uses double exposure of a reusable template mask and a trim mask to fabricate regularly-placed rectangular contacts in standard cells of application-specific integrated circuits (ASICs). A first exposure of the reusable template mask with periodic patterns forms periodic dark lines on a wafer and a second exposure of an application-specific trim mask remove the unwanted part of the dark lines and the small cuts of the dark lines left form the rectangular regularly-placed contacts. All contacts are placed regularly in one direction while unrestrictedly in the perpendicular direction. The regular placement of patterns on the template mask enable more effective use of resolution enhancement technologies  which in turn allows a decrease in manufacturing cost and the minimum contact size and pitch. Since there is no extra application-specific mask needed comparing with the conventional lithography method for unrestrictedly-placed contacts  the extra cost is kept to the lowest. The method of the invention can be used in the fabrication of standard cells in application-specific integrated circuits (ASICs) to improve circuit performance and decrease circuit area and manufacturing cost.US Patent Number: 7 569 308,
Faculty of Engineering,Electrical and Electronic Engineering,HIGH TEMPERATURE SUPERCONDUCTING (HTS) TAPE COIL WITH ENHANCED PROTECTION AND METHOD FOR MAKING SAMEThe invention provides an improved method of manufacturing an HTS tape coil for an MRI device with enhanced protection  the method comprising attaching high-Q capacitors at each end of an HTS wire  removing substantially all electrically conductive sheathing material on an inner side of the HTS wire  while retaining substantially all electrically conductive sheathing material on an outer side of the HTS wire. The invention also provides an HTS wire made in accordance with the foregoing method.US Patent Number: 7 517 834HYBRID ORGANIC/NANOPARTICLE DEVICESNew!Example embodiments disclosed herein may relate to organic electronic and/or organic optoelectronic devices  which may further relate to hybrid organic/nanoparticle devices with dual functions of resonant tunneling and light emission behaviors. More >>>US Patent Number: 8 384 067POWER CONVERTER REMAINING LIFE ESTIMATIONNew!Subject matter disclosed herein may relate to monitoring and/or estimating remaining life for a power converter. More >>>US Patent Number: 8 412 486METHODS OR STRUCTURES FOR RECONSTRUCTION OF SUBSTANTIALLY UNIFORM SAMPLES FROM SUBSTANTIALLY NONUNIFORM SAMPLESNew!Briefly  embodiments of methods or structures for reconstruction of uniform digital signal sample values from nonuniform digital signal sample values are disclosed. More >>>US Patent Number: 8 631 059,
Faculty of Engineering,Electrical and Electronic Engineering,COMPACT ELECTRONIC REVERBERATION CHAMBERNew!A method and apparatus provide an improved EM reverberation chamber which facilitates the dynamic three dimensional (3D) manipulation of EM field polarization within the chamber and produces a uniform field distribution inside the chamber. The chamber includes one or more walls with tunable lumped elements. A controller is provided to generate one or more control signals that are applied to the lumped elements and tunes their impedance in response to the one or more control signals. The result is to generate  within the chamber an electromagnetic field that appears to be random or pseudo-random in polarization  but which is sufficiently uniform in magnitude for EM testing. More >>>US Patent Number: 8 693 158WHITE NANOLED WITHOUT REQUIRING COLOR CONVERSIONNew!A nano-LED containing an array of nano-pillars of different diameters that are distributed over an emission area of an LED chip is capable of emitting broadband and white or nearly white light. Since each pillar emits light at a different wavelength according to its diameter and strain state  the overall emission spectral characteristics of the device is a combination of individual spectrum  giving rise to broadband emission. The spectral shape can be tailored for different shades of white emission  by controlling the distribution of the different diameter nano-pillars. The nano-pillars are patterned by nanosphere lithography.US Patent Number: 9 401 453ENHANCING AQM TO COMBAT WIRELESS LOSSESNew!In order to maintain a small  stable backlog at an internet router buffer  active queue management (AQM) algorithms drop packets probabilistically at the onset of congestion. This causes Transmission Control Protocol (TCP) data flow rates to reduce. However  wireless losses may be misinterpreted as congestive losses and induce spurious reductions in flow rates. A prior art AQM with random early detection (RED)  fails to maintain a stable backlog under time-varying wireless losses. However  the present invention can resolve the problem and provide a robust tracking of the backlog to a preset reference level by applying a control-theoretic vehicle  Internal Model principle  to realize such tracking. An integral controller (IC) is used as an embodiment of the principle that is robust against time-varying wireless losses under various network scenarios.US Patent Number: 9 473 974WAVELENGTH-ENCODED TOMOGRAPHYNew!Systems and methods for non-invasive optical imaging are provided. One or more time-lenses can be utilized to perform an optical Fourier transform  and the time-to-wavelength conversion can generate a wavelength-encoded image of optical scattering  analogous to optical coherence tomography. This optical Fourier transform provides improved axial resolution and simplifies digital signal processing after data acquisition.US Patent Number: 9 404 800,

